

ProductId,Color
cm4fw6uzi0002fmf0dbdks6av,Black/Cement Grey/Summit White/Fire Red
cm4fw6uzu0004fmf0exh8lev3,White/White
cm4fw6v020006fmf0zhnu8m9a,Sail/Light Orewood Brown/White/Black
cm4fw6v080008fmf0kobz5jkv,Black/White Brown
cm4fw6v0c000afmf0pg5opnzp,White/Black
cm4fw6v0g000cfmf0jzv4gtka,Black/Off-Noir
cm4fw6v0m000efmf0bne5d658,White/Black
cm4fw6v0q000gfmf060knldd0,Metallic Summit White/Pure Platinum/Wolf Grey/White
cm4fw6v0w000ifmf0hkavciyb,Phantom/Gum Light Brown/Coconut Milk/Malachite
cm4fw6v0z000kfmf0ecq84fyi,White/Varsity Red/Sail/Midnight Navy
cm4fw6v13000mfmf0mwnpwx7f,Black/Black/Black/Black
cm4fw6v16000ofmf0bo1ogjz1,Pure Platinum/Black/Hyper Crimson/White
cm4fw6v18000qfmf01qeirynd,White/Black
cm4fw6v1c000sfmf0xnoyoaf1,White/Pure Platinum/Black
cm4fw6v1e000ufmf0spmxbsqn,Black/Black/Anthracite/Black
cm4fw6v1j000wfmf054q6ta91,Chlorine Blue/Hyper Pink/Hyper Grape/Black
cm4fw6v1n000yfmf0qcsjnjke,Black Tea/Petra Brown/Olive Grey/Black
cm4fw6v1t0010fmf0ezezn238,Multi-Colour/Multi-Colour
cm4fw6v1w0012fmf07nikkncs,White/Wolf Grey/Black
cm4fw6v200014fmf0cablqcfm,Black/Black/Oatmeal/Metallic
cm4fw6v220016fmf022jh8a25,Multi-Colour/Multi-Colour
cm4fw6v250018fmf05aer246o,Multi-Colour/Multi-Colour
cm4fw6v29001afmf0by9mqsfg,Black/Deep Jungle/Black
cm4fw6v2e001cfmf0f4chnvfg,Cement Grey/Black/Concord/Hot Punch
